	022um-Control_R1_filtered.fastq.gz	20210602-MA-ABB1F_R1_filtered.fastq.gz	20210602-MA-ABB1P_R1_filtered.fastq.gz	20210602-MA-ABB1W_R1_filtered.fastq.gz	20210602-MA-ABS1F_R1_filtered.fastq.gz	20210602-MA-ABS1P_R1_filtered.fastq.gz	20210602-MA-ABS1W_R1_filtered.fastq.gz	20210602-MA-CEB1F_R1_filtered.fastq.gz	20210602-MA-CEB1P_R1_filtered.fastq.gz	20210602-MA-CEB1W_R1_filtered.fastq.gz	20210602-MA-CES1F_R1_filtered.fastq.gz	20210602-MA-CES1P_R1_filtered.fastq.gz	20210602-MA-CES1W_R1_filtered.fastq.gz	20210602-MA-CWB1F_R1_filtered.fastq.gz	20210602-MA-CWB1P_R1_filtered.fastq.gz	20210602-MA-CWB1W_R1_filtered.fastq.gz	20210602-MA-CWS1F_R1_filtered.fastq.gz	20210602-MA-CWS1P_R1_filtered.fastq.gz	20210602-MA-CWS1W_R1_filtered.fastq.gz	20210602-MA-MBB1F_R1_filtered.fastq.gz	20210602-MA-MBB1P_R1_filtered.fastq.gz	20210602-MA-MBB1W_R1_filtered.fastq.gz	20210602-MA-MBS1F_R1_filtered.fastq.gz	20210602-MA-MBS1P_R1_filtered.fastq.gz	20210602-MA-MBS1W_R1_filtered.fastq.gz	20210602-MA-SCB1F_R1_filtered.fastq.gz	20210602-MA-SCB1P_R1_filtered.fastq.gz	20210602-MA-SCB1W_R1_filtered.fastq.gz	20210602-MA-SCS1F_R1_filtered.fastq.gz	20210602-MA-SCS1P_R1_filtered.fastq.gz	20210602-MA-SCS1W_R1_filtered.fastq.gz	20210615-MA-ABB2F_R1_filtered.fastq.gz	20210615-MA-ABB2P_R1_filtered.fastq.gz	20210615-MA-ABB2W_R1_filtered.fastq.gz	20210615-MA-ABS1F_R1_filtered.fastq.gz	20210615-MA-ABS1P_R1_filtered.fastq.gz	20210615-MA-ABS1W_R1_filtered.fastq.gz	20210615-MA-CEB1F_R1_filtered.fastq.gz	20210615-MA-CEB1P_R1_filtered.fastq.gz	20210615-MA-CEB1W_R1_filtered.fastq.gz	20210615-MA-CES1F_R1_filtered.fastq.gz	20210615-MA-CES1P_R1_filtered.fastq.gz	20210615-MA-CES1W_R1_filtered.fastq.gz	20210615-MA-CWB1F_R1_filtered.fastq.gz	20210615-MA-CWB1P_R1_filtered.fastq.gz	20210615-MA-CWB1W_R1_filtered.fastq.gz	20210615-MA-CWS1F_R1_filtered.fastq.gz	20210615-MA-CWS1P_R1_filtered.fastq.gz	20210615-MA-CWS1W_R1_filtered.fastq.gz	20210615-MA-MBB1F_R1_filtered.fastq.gz	20210615-MA-MBB1P_R1_filtered.fastq.gz	20210615-MA-MBB1W_R1_filtered.fastq.gz	20210615-MA-MBS1F_R1_filtered.fastq.gz	20210615-MA-MBS1P_R1_filtered.fastq.gz	20210615-MA-MBS1W_R1_filtered.fastq.gz	20210615-MA-SCB2F_R1_filtered.fastq.gz	20210615-MA-SCB2P_R1_filtered.fastq.gz	20210615-MA-SCB2W_R1_filtered.fastq.gz	20210615-MA-SCS2F_R1_filtered.fastq.gz	20210615-MA-SCS2P_R1_filtered.fastq.gz	20210615-MA-SCS2W_R1_filtered.fastq.gz	20211005-MA-ABB2F_R1_filtered.fastq.gz	20211005-MA-ABB2P_R1_filtered.fastq.gz	20211005-MA-ABB2W_R1_filtered.fastq.gz	20211005-MA-ABS1F_R1_filtered.fastq.gz	20211005-MA-ABS1P_R1_filtered.fastq.gz	20211005-MA-ABS1W_R1_filtered.fastq.gz	20211005-MA-CEB1F_R1_filtered.fastq.gz	20211005-MA-CEB1P_R1_filtered.fastq.gz	20211005-MA-CEB1W_R1_filtered.fastq.gz	20211005-MA-CES2F_R1_filtered.fastq.gz	20211005-MA-CES2P_R1_filtered.fastq.gz	20211005-MA-CES2W_R1_filtered.fastq.gz	20211005-MA-CWB1F_R1_filtered.fastq.gz	20211005-MA-CWB1P_R1_filtered.fastq.gz	20211005-MA-CWB1W_R1_filtered.fastq.gz	20211005-MA-CWS1F_R1_filtered.fastq.gz	20211005-MA-CWS1P_R1_filtered.fastq.gz	20211005-MA-CWS1W_R1_filtered.fastq.gz	20211005-MA-MBB1F_R1_filtered.fastq.gz	20211005-MA-MBB1P_R1_filtered.fastq.gz	20211005-MA-MBB1W_R1_filtered.fastq.gz	20211005-MA-MBS1F_R1_filtered.fastq.gz	20211005-MA-MBS1P_R1_filtered.fastq.gz	20211005-MA-MBS1W_R1_filtered.fastq.gz	20211005-MA-SCB1F_R1_filtered.fastq.gz	20211005-MA-SCB1P_R1_filtered.fastq.gz	20211005-MA-SCB1W_R1_filtered.fastq.gz	20211005-MA-SCS2F_R1_filtered.fastq.gz	20211005-MA-SCS2P_R1_filtered.fastq.gz	20211005-MA-SCS2W_R1_filtered.fastq.gz	3um-Control_R1_filtered.fastq.gz	DNA-Ext-Control_R1_filtered.fastq.gz	MockZymoPos_R1_filtered.fastq.gz	WaterControl_R1_filtered.fastq.gz
ASV_1	0	594	416	876	495	510	568	508	464	344	879	506	762	227	277	324	36	22	34	1476	733	983	1205	573	1018	449	124	495	879	639	573	265	266	1023	490	352	416	563	437	570	541	307	436	214	370	267	221	201	318	1074	826	905	1054	935	1136	0	96	70	53	0	141	535	244	615	456	215	542	379	364	403	218	98	155	24	17	0	32	15	18	694	819	963	601	562	848	536	389	230	513	411	459	0	0	0	0
ASV_2	0	246	176	296	206	218	225	359	0	285	785	479	800	358	578	573	278	150	213	529	292	319	473	246	326	70	55	91	138	149	144	156	320	1051	497	532	317	796	658	596	710	448	508	384	700	442	438	496	594	727	611	753	749	718	713	0	66	0	23	23	27	548	328	615	499	342	590	300	444	275	595	381	511	197	202	168	212	159	156	660	1093	1013	741	605	688	15	0	203	0	0	0	0	0	0	0
ASV_3	7707	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	179	0	0	0	0	0	0	0	1276	0	0	0	0	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	248	0	7616	5179	0	9371
ASV_4	0	379	315	592	393	291	473	309	217	579	346	45	216	112	136	183	5	0	4	337	146	251	398	103	308	283	97	281	404	55	178	232	43	522	281	132	366	157	77	147	122	0	95	0	0	0	0	0	0	283	153	241	158	124	204	0	79	233	160	39	263	213	0	222	171	0	201	209	166	287	60	0	50	0	0	0	0	0	0	401	141	453	280	119	456	331	138	116	245	40	220	0	0	0	0
ASV_5	0	130	103	188	133	82	185	225	195	285	50	0	49	44	0	61	0	0	0	158	59	107	140	0	131	132	0	135	195	0	61	32	0	222	175	89	183	505	274	481	393	132	307	397	428	405	426	306	438	225	119	196	175	98	181	0	0	91	56	0	99	282	63	313	254	40	276	283	155	400	311	57	216	59	36	27	49	13	31	215	79	292	164	63	246	282	117	69	229	0	195	0	0	0	0
ASV_6	0	164	164	213	112	84	213	198	136	289	192	27	107	125	138	146	0	0	11	215	50	92	158	46	120	87	22	70	129	21	59	0	25	299	244	116	220	169	110	134	130	62	125	88	96	54	97	73	73	221	169	190	175	133	205	0	0	0	0	0	0	165	17	157	170	20	135	177	173	224	139	13	74	0	0	0	0	0	0	116	65	137	115	65	131	172	90	91	140	52	130	0	0	0	0
ASV_7	0	20	18	29	0	0	0	10	549	0	23	0	0	0	0	0	0	0	0	62	26	0	49	56	27	111	69	118	186	171	116	0	0	47	22	0	15	0	0	0	0	0	0	0	0	0	0	0	0	24	25	17	20	0	0	0	381	425	320	135	436	50	61	66	53	38	54	66	59	99	0	0	0	0	0	0	0	0	0	44	0	58	44	39	66	659	476	0	560	456	557	0	0	0	0
ASV_8	0	11	0	7	6	0	0	41	0	41	80	16	36	116	81	137	210	108	195	24	0	0	14	9	0	0	0	0	0	0	0	0	0	29	49	16	31	215	111	144	225	76	198	300	409	311	378	301	413	62	22	28	65	33	52	0	0	0	0	0	0	36	6	35	32	0	38	36	17	48	158	53	173	338	260	253	399	137	286	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_9	0	63	73	111	72	43	97	109	162	149	47	17	66	35	37	47	0	0	0	116	42	85	84	67	98	85	19	71	96	0	45	0	18	160	97	39	116	75	45	72	84	45	100	63	60	66	86	68	69	155	79	94	76	87	107	0	89	198	101	0	109	116	15	100	107	18	106	96	68	121	115	24	61	5	5	0	10	7	0	211	80	202	155	63	189	195	76	33	164	0	170	0	0	0	0
ASV_10	0	41	37	91	46	26	80	143	0	158	95	11	92	80	86	115	19	0	25	109	17	84	83	59	75	21	0	12	39	0	19	68	5	130	101	43	121	132	64	120	149	57	163	152	188	160	175	131	153	101	60	70	63	65	89	0	0	0	0	0	0	101	15	115	85	18	65	76	41	116	165	32	68	36	27	18	62	20	31	165	61	131	126	51	135	0	0	41	0	0	0	0	0	0	0
ASV_11	0	111	86	151	155	145	158	55	80	60	0	0	0	0	0	0	0	0	0	164	65	138	196	58	160	310	160	299	335	169	257	0	0	113	59	33	48	0	0	0	0	0	0	0	0	0	0	0	0	101	51	85	83	82	93	0	108	249	327	47	347	43	0	36	26	0	37	61	25	66	0	0	0	0	0	0	0	0	0	82	44	85	0	29	83	79	0	23	57	0	70	0	0	0	0
ASV_12	0	0	198	82	0	244	137	48	0	85	0	0	0	0	0	0	0	0	0	0	76	16	0	60	25	0	192	100	0	263	59	0	80	0	0	68	10	4	0	20	0	225	0	0	0	0	0	0	0	12	256	60	14	467	128	0	289	35	0	1319	24	0	137	0	0	85	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	351	0	225	18	0	0	0	0
